PV1MATH,CNTSCHID,CNTSTUID,PAREDINT,HOMEPOS,HISEI,GRADE,ST004D01T,IMMIG,MATHEFF,ANXMAT,REPEAT,ST062Q01TA,DISCLIM,STUBEHA,STAFFSHORT,EDUSHORT,PROATCE,TEACHSUP,SCHLTYPE,ST059Q01TA,SC175Q01JA,ESCS
509.21,75600216.0,75600094.0,16.0,-0.1229,30.34,1.0,Female,First-Generation student,-0.5131,,Never repeated,Never,1.0761,,,,,1.5558,Public,4.0,,-0.1871
382.271,75600010.0,75600095.0,,0.266,,0.0,Female,Second-Generation student,-0.7671,1.5706,Never repeated,Never,1.8217,-0.0956,-0.5393,-1.4212,0.9615,0.8211,Public,5.0,45.0,
336.26,75600176.0,75600098.0,,,,-1.0,Female,,,,,,,,,,,,Public,,,
445.469,75600144.0,75600100.0,,0.8207,65.12,0.0,Female,Native student,,,Never repeated,Never,-1.1764,0.1795,0.2841,-0.2376,1.0,0.1475,Public,,45.0,0.8243
431.135,75600045.0,75600101.0,16.0,-0.8017,,0.0,Male,Native student,-1.9265,,Never repeated,Never,,,,,,,Public,6.0,,-0.5164
399.432,75600157.0,75600102.0,6.0,-1.0611,32.5,-1.0,Female,Native student,-1.306,1.4278,Repeated at lease once,Never,0.0968,0.2773,0.2199,-0.2805,0.8542,0.4357,Public,5.0,45.0,-2.2361
357.661,75600147.0,75600103.0,,-1.1023,28.48,0.0,Male,Second-Generation student,,,Never repeated,Never,-0.1273,,,,,,Public,4.0,,-0.8952
529.532,75600148.0,75600104.0,12.0,0.4508,50.37,0.0,Male,Second-Generation student,0.5595,-1.2756,Never repeated,Never,-1.1698,0.0921,0.7007,0.4591,1.0,0.1475,Public,5.0,45.0,-0.2428
604.826,75600265.0,75600105.0,14.5,0.6824,73.71,0.0,Female,Native student,0.2275,-0.2758,Never repeated,Never,1.1571,-1.1906,-2.1066,-1.4212,1.0,0.1475,Public,5.0,45.0,0.719
753.579,75600033.0,75600106.0,16.0,1.4011,71.39,1.0,Male,Native student,1.0556,-0.6243,Never repeated,Never,0.6387,0.4781,-0.2766,-0.6884,0.0,-0.8059,Public,5.0,45.0,1.2335
462.33,75600237.0,75600108.0,16.0,0.634,82.41,-1.0,Male,Native student,-0.8605,-0.0423,Repeated at lease once,Never,-0.4735,1.1989,-0.9311,-1.4212,1.0,-0.3322,Public,5.0,45.0,1.1167
552.174,75600115.0,75600109.0,16.0,0.7917,79.74,1.0,Female,Native student,-0.4632,-0.0575,Never repeated,Never,-0.4961,1.5517,1.4261,1.6863,1.0,-1.3627,Public,4.0,45.0,1.133
433.111,75600001.0,75600110.0,14.5,0.0968,43.33,0.0,Male,Second-Generation student,,,Never repeated,Never,-1.8859,,,,,1.5558,Public,5.0,,-0.1026
398.16,75600182.0,75600111.0,,-0.9827,,1.0,Female,Second-Generation student,,-0.2704,Never repeated,Never,-0.1361,-0.6983,,,,-0.3322,Public,1.0,,
528.659,75600011.0,75600112.0,16.0,0.1697,59.89,0.0,Male,Native student,-0.932,1.1287,Never repeated,Never,0.3521,0.1795,1.1379,-1.4212,1.0,0.8211,Public,5.0,45.0,0.4948
379.79,75600244.0,75600113.0,9.0,0.7583,43.33,0.0,Female,Native student,-0.8302,0.3378,Never repeated,Never,-1.5622,0.1795,0.4622,-0.3123,0.0,1.5558,Public,4.0,45.0,-0.7533
433.631,75600250.0,75600114.0,16.0,0.3994,75.43,0.0,Female,Native student,0.0139,1.5426,Never repeated,Five or more times,-0.8435,0.1795,0.2975,0.6299,0.9261,0.4357,Public,5.0,45.0,0.8855
625.154,75600163.0,75600116.0,16.0,1.0723,70.5,0.0,Male,Native student,2.157,0.429,Never repeated,One or two times,-0.5288,-0.335,-1.1673,-1.4212,,0.4357,Public,5.0,45.0,1.0774
707.085,75600151.0,75600117.0,16.0,0.8634,70.34,1.0,Male,First-Generation student,0.918,0.6566,Never repeated,One or two times,0.6764,1.2397,0.2841,-1.4212,1.0,0.4357,Public,6.0,45.0,0.9859
504.456,75600146.0,75600118.0,16.0,-0.3424,80.78,0.0,Female,Native student,-0.1553,-0.0394,Never repeated,Never,-0.3029,0.4651,0.961,-0.6884,1.0,-0.3322,Public,4.0,45.0,0.6723
415.148,75600018.0,75600119.0,14.5,-0.3643,21.64,1.0,Female,Native student,,,Never repeated,Never,,-2.0719,-1.1673,-0.4526,0.9762,,Public,,45.0,-0.7074
601.906,75600220.0,75600120.0,14.5,0.556,65.12,0.0,Male,Native student,,,Never repeated,Never,1.8153,0.1064,0.299,-0.9432,0.7727,0.1475,Public,5.0,45.0,0.5033
480.294,75600218.0,75600121.0,16.0,-0.4062,79.74,1.0,Female,Native student,-0.3068,0.8918,Never repeated,Never,-0.5252,2.3697,-0.5635,0.7889,1.0,0.8211,Public,3.0,45.0,0.6257
367.087,75600090.0,75600122.0,14.5,-1.1897,,0.0,Male,Second-Generation student,,1.2587,Never repeated,One or two times,,,,,,,Public,,,-0.3836
352.892,75600178.0,75600123.0,16.0,0.371,70.34,-1.0,Male,Native student,-0.3238,0.5653,Never repeated,Never,0.4768,-2.0719,-2.1066,-1.4212,0.8889,,Public,8.0,50.0,0.7774
515.812,75600157.0,75600124.0,12.0,0.0534,71.39,0.0,Male,Native student,,,Never repeated,Never,-0.1668,0.2773,0.2199,-0.2805,0.8542,-1.3627,Public,4.0,45.0,-0.0143
462.922,75600203.0,75600126.0,16.0,-0.0468,44.94,0.0,Female,Second-Generation student,0.1985,-0.1371,Never repeated,Never,1.6526,0.4147,0.8939,-1.4212,1.0,-1.0693,Public,6.0,45.0,0.1208
504.464,75600196.0,75600127.0,14.5,2.732,,0.0,Female,Native student,-0.0826,-0.4577,Never repeated,Never,-0.3444,-0.0384,0.8939,-1.4212,0.7895,1.5558,Public,4.0,45.0,1.5937
538.467,75600240.0,75600128.0,14.5,0.4595,75.5,0.0,Female,Native student,-0.3378,-0.4577,Never repeated,Never,-0.3029,-0.335,1.3305,0.8339,0.9286,-0.5635,Public,5.0,45.0,0.6584
360.214,75600022.0,75600130.0,,-0.662,27.81,1.0,Male,Second-Generation student,,-0.2885,Never repeated,Never,-0.3586,0.5515,-1.1673,-1.4212,1.0,0.4357,Public,4.0,90.0,-0.5924
540.03,75600187.0,75600132.0,16.0,1.5379,84.14,0.0,Female,Native student,2.0126,-0.9877,Never repeated,Never,-0.1361,0.747,-2.1066,-1.4212,1.0,1.5558,Public,7.0,45.0,1.5322
467.506,75600265.0,75600133.0,14.5,-0.1014,26.64,0.0,Female,Native student,-1.0121,-0.3744,Never repeated,,0.9297,-1.1906,-2.1066,-1.4212,1.0,-0.5635,Public,5.0,45.0,-0.5017
380.495,75600262.0,75600134.0,16.0,0.288,85.85,1.0,Male,First-Generation student,-1.2638,1.4533,Never repeated,One or two times,-0.842,,,,,1.5558,Public,3.0,45.0,1.0351
583.957,75600066.0,75600135.0,16.0,0.0207,85.13,0.0,Male,Native student,,,Never repeated,Never,-0.0903,-0.7453,-2.1066,-0.6884,0.9839,0.4357,Public,4.0,50.0,0.9083
486.075,75600251.0,75600136.0,14.5,-0.5854,53.15,1.0,Female,Native student,-0.6732,,Never repeated,Never,,0.8153,-0.1889,-0.2488,0.2162,,Public,0.0,,-0.2061
394.033,75600120.0,75600137.0,14.5,-0.5936,22.57,1.0,Female,Second-Generation student,,,Never repeated,Never,,0.6058,-2.1066,-0.4907,0.5593,,Public,0.0,45.0,-0.787
586.145,75600235.0,75600139.0,16.0,-0.3912,26.64,1.0,Female,Second-Generation student,-0.0695,0.1748,Never repeated,Never,0.3494,0.6121,-0.9675,0.9762,,-0.3322,Public,4.0,45.0,-0.3706
540.019,75600264.0,75600140.0,12.0,0.0356,42.3,0.0,Male,Native student,2.1973,-2.3868,Never repeated,Never,1.7678,0.1715,0.4472,-1.4212,0.8909,-0.8059,Public,5.0,45.0,-0.5711
501.562,75600212.0,75600141.0,16.0,-0.5058,79.74,0.0,Male,Second-Generation student,,,Never repeated,Never,,0.6935,,,,,Public,,45.0,0.5835
403.544,75600048.0,75600142.0,16.0,0.9554,44.92,0.0,Female,Native student,-1.1937,-0.1172,Never repeated,One or two times,-0.1668,1.1989,1.1402,-0.6884,1.0,-1.0693,Public,5.0,45.0,0.5449
536.205,75600167.0,75600144.0,14.5,0.5705,72.83,1.0,Male,Native student,1.9656,,Never repeated,Never,-0.3664,0.1945,-0.2766,-1.4212,1.0,-0.1002,Public,,90.0,0.655
644.533,75600064.0,75600145.0,16.0,0.6108,80.92,1.0,Female,Second-Generation student,-0.1932,0.1931,Never repeated,Never,0.1548,,,,0.9493,-0.8059,Public,5.0,,1.0787
568.758,75600128.0,75600146.0,16.0,0.8417,78.76,1.0,Male,Native student,0.075,0.051,Never repeated,Never,0.4477,-0.4428,-0.2982,-1.4212,0.9358,0.8211,Public,4.0,45.0,1.1357
